"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2021","5.35","5.40","5.40","5.34","344.01K","0.00%"
"08/27/2021","5.34","5.34","5.36","5.33","133.91K","0.20%"
"08/26/2021","5.33","5.34","5.35","5.33","54.06K","0.00%"
"08/25/2021","5.33","5.35","5.35","5.33","136.76K","-0.33%"
"08/24/2021","5.35","5.35","5.35","5.35","68.13K","0.10%"
"08/23/2021","5.35","5.38","5.38","5.34","117.62K","0.13%"
"08/20/2021","5.34","5.36","5.36","5.34","117.36K","0.00%"
"08/19/2021","5.34","5.37","5.37","5.34","117.38K","0.00%"
"08/18/2021","5.34","5.35","5.37","5.34","38.30K","-0.10%"
"08/17/2021","5.35","5.37","5.37","5.34","110.26K","-0.36%"
"08/16/2021","5.37","5.36","5.37","5.36","32.79K","0.25%"
"08/13/2021","5.35","5.34","5.36","5.34","81.77K","0.30%"
"08/12/2021","5.34","5.34","5.35","5.33","112.22K","0.00%"
"08/11/2021","5.34","5.33","5.34","5.32","2.78M","0.09%"
"08/10/2021","5.33","5.34","5.37","5.33","141.93K","-0.28%"
"08/09/2021","5.34","5.35","5.38","5.34","1.63M","-0.17%"
"08/06/2021","5.35","5.40","5.40","5.35","668.12K","-0.58%"
"08/05/2021","5.39","5.41","5.41","5.38","818.89K","0.00%"
"08/04/2021","5.38","5.40","5.42","5.38","1.26M","0.00%"
"08/03/2021","5.38","5.39","5.40","5.38","192.05K","0.00%"
"08/02/2021","5.39","5.39","5.39","5.37","138.16K","0.32%"
"07/30/2021","5.37","5.39","5.39","5.37","21.80K","-0.11%"
"07/29/2021","5.38","5.37","5.38","5.36","148.84K","0.39%"
"07/28/2021","5.35","5.36","5.36","5.34","197.61K","-0.13%"
"07/27/2021","5.36","5.37","5.37","5.34","1.22M","0.19%"
"07/26/2021","5.35","5.35","5.36","5.34","35.86K","0.26%"
"07/23/2021","5.34","5.37","5.37","5.34","296.35K","-0.15%"
"07/22/2021","5.34","5.38","5.38","5.33","424.69K","0.26%"
"07/21/2021","5.33","5.36","5.36","5.33","169.82K","-0.21%"
"07/20/2021","5.34","5.38","5.38","5.33","141.13K","-0.17%"
"07/19/2021","5.35","5.36","5.37","5.33","770.49K","0.38%"
"07/16/2021","5.33","5.33","5.34","5.33","259.79K","0.00%"
"07/15/2021","5.33","5.34","5.34","5.33","97.06K","-0.59%"
"07/14/2021","5.36","5.35","5.36","5.34","67.82K","0.00%"
"07/13/2021","5.36","5.36","5.38","5.35","98.34K","0.00%"
"07/12/2021","5.36","5.41","5.41","5.36","109.39K","0.00%"
"07/09/2021","5.36","5.39","5.39","5.36","37.26K","-0.12%"
"07/08/2021","5.37","5.38","5.38","5.36","105.52K","0.30%"
"07/07/2021","5.35","5.35","5.38","5.35","127.52K","0.00%"
"07/06/2021","5.35","5.34","5.36","5.34","642.91K","0.18%"
"07/05/2021","5.34","5.35","5.35","5.34","157.94K","0.00%"
"07/02/2021","5.34","5.36","5.36","5.33","103.61K","0.15%"
"07/01/2021","5.33","5.36","5.36","5.33","324.80K","-0.10%"
"06/30/2021","5.34","5.36","5.36","5.34","117.02K","-0.12%"
"06/29/2021","5.34","5.36","5.36","5.33","648.30K","0.00%"
"06/28/2021","5.34","5.34","5.35","5.33","1.61M","0.19%"
"06/25/2021","5.33","5.36","5.36","5.33","740.23K","-0.11%"
"06/24/2021","5.34","5.36","5.36","5.33","105.39K","0.00%"
"06/23/2021","5.34","5.34","5.34","5.33","598.91K","0.00%"
"06/22/2021","5.33","5.34","5.34","5.33","93.89K","-0.11%"
"06/21/2021","5.34","5.34","5.34","5.33","1.23M","0.11%"
"06/18/2021","5.33","5.34","5.35","5.33","66.10K","-0.22%"
"06/17/2021","5.35","5.37","5.37","5.33","264.41K","-0.73%"
"06/16/2021","5.39","5.38","5.40","5.38","67.00K","0.18%"
"06/15/2021","5.38","5.38","5.39","5.36","123.53K","-0.11%"
"06/14/2021","5.38","5.42","5.42","5.38","179.33K","0.00%"
"06/11/2021","5.38","5.38","5.41","5.38","461.35K","-0.22%"
"06/10/2021","5.39","5.42","5.42","5.38","38.24K","0.00%"
"06/09/2021","5.39","5.39","5.42","5.38","134.76K","0.13%"
"06/08/2021","5.39","5.38","5.39","5.38","96.26K","0.09%"
"06/07/2021","5.38","5.39","5.39","5.37","43.58K","0.00%"
"06/04/2021","5.38","5.38","5.38","5.35","115.41K","0.53%"
"06/03/2021","5.36","5.40","5.40","5.36","75.36K","-0.32%"
"06/02/2021","5.37","5.40","5.40","5.36","65.58K","-0.16%"
"06/01/2021","5.38","5.40","5.40","5.37","292.09K","0.26%"
"05/28/2021","5.37","5.40","5.40","5.36","376.31K","0.00%"
"05/27/2021","5.37","5.38","5.38","5.26","5.41M","-0.24%"
"05/26/2021","5.38","5.40","5.40","5.38","100.78K","0.00%"
