sep=;
"Date";"Open(QEURIBOR1MD=)";"High(QEURIBOR1MD=)";"Low(QEURIBOR1MD=)";"Last(QEURIBOR1MD=)"
"19.03.1993";"";"";"";"8,334"
"18.03.1993";"";"";"";"8,303"
"17.03.1993";"";"";"";"8,302"
"16.03.1993";"";"";"";"8,31"
"15.03.1993";"";"";"";"8,307"
"12.03.1993";"";"";"";"8,307"
"11.03.1993";"";"";"";"8,314"
"10.03.1993";"";"";"";"8,355"
"09.03.1993";"";"";"";"8,355"
"08.03.1993";"";"";"";"8,392"
"05.03.1993";"";"";"";"8,44"
"04.03.1993";"";"";"";"8,513"
"03.03.1993";"";"";"";"8,541"
"02.03.1993";"";"";"";"8,553"
"01.03.1993";"";"";"";"8,603"
"26.02.1993";"";"";"";"8,615"
"25.02.1993";"";"";"";"8,61"
"24.02.1993";"";"";"";"8,608"
"23.02.1993";"";"";"";"8,61"
"22.02.1993";"";"";"";"8,611"
"19.02.1993";"";"";"";"8,611"
"18.02.1993";"";"";"";"8,605"
"17.02.1993";"";"";"";"8,606"
"16.02.1993";"";"";"";"8,607"
"15.02.1993";"";"";"";"8,601"
"12.02.1993";"";"";"";"8,593"
"11.02.1993";"";"";"";"8,59"
"10.02.1993";"";"";"";"8,593"
"09.02.1993";"";"";"";"8,575"
"08.02.1993";"";"";"";"8,553"
"05.02.1993";"";"";"";"8,552"
"04.02.1993";"";"";"";"8,628"
"03.02.1993";"";"";"";"8,638"
"02.02.1993";"";"";"";"8,65"
"01.02.1993";"";"";"";"8,651"
"29.01.1993";"";"";"";"8,657"
"28.01.1993";"";"";"";"8,655"
"27.01.1993";"";"";"";"8,655"
"26.01.1993";"";"";"";"8,654"
"25.01.1993";"";"";"";"8,65"
"22.01.1993";"";"";"";"8,65"
"21.01.1993";"";"";"";"8,649"
"20.01.1993";"";"";"";"8,653"
"19.01.1993";"";"";"";"8,647"
"18.01.1993";"";"";"";"8,643"
"15.01.1993";"";"";"";"8,664"
"14.01.1993";"";"";"";"8,68"
"13.01.1993";"";"";"";"8,702"
"12.01.1993";"";"";"";"8,704"
"11.01.1993";"";"";"";"8,725"
"08.01.1993";"";"";"";"8,733"
"07.01.1993";"";"";"";"8,804"
"06.01.1993";"";"";"";"8,82"
"05.01.1993";"";"";"";"8,847"
"04.01.1993";"";"";"";"8,853"
"30.12.1992";"";"";"";"8,903"
"29.12.1992";"";"";"";"8,934"
"28.12.1992";"";"";"";"9,1"
"23.12.1992";"";"";"";"9,184"
"22.12.1992";"";"";"";"9,184"
"21.12.1992";"";"";"";"9,25"
"18.12.1992";"";"";"";"9,257"
"17.12.1992";"";"";"";"9,263"
"16.12.1992";"";"";"";"9,213"
"15.12.1992";"";"";"";"9,158"
"14.12.1992";"";"";"";"9,153"
"11.12.1992";"";"";"";"9,151"
"10.12.1992";"";"";"";"9,153"
"09.12.1992";"";"";"";"9,144"
"08.12.1992";"";"";"";"9,133"
"07.12.1992";"";"";"";"9,129"
"04.12.1992";"";"";"";"9,123"
"03.12.1992";"";"";"";"9,132"
"02.12.1992";"";"";"";"9,128"
"01.12.1992";"";"";"";"9,116"
"30.11.1992";"";"";"";"9,073"
"27.11.1992";"";"";"";"8,997"
"26.11.1992";"";"";"";"8,919"
